config,n_slots,fold,class,precision,recall,f1,support
softprompt_N16,16,0,Araneae,0.9945652173913043,0.973404255319149,0.9838709677419355,188.0
softprompt_N16,16,0,Blattodea,0.7777777777777778,1.0,0.875,7.0
softprompt_N16,16,0,Coleoptera,0.8857142857142857,0.8136482939632546,0.8481532147742818,381.0
softprompt_N16,16,0,Diptera,0.9791028141543605,0.990975747320925,0.9850035038542396,10638.0
softprompt_N16,16,0,Hemiptera,0.8516746411483254,0.689922480620155,0.7623126338329764,258.0
softprompt_N16,16,0,Hymenoptera,0.95,0.9251577998196574,0.9374143444495203,1109.0
softprompt_N16,16,0,Ixodida,0.0,0.0,0.0,0.0
softprompt_N16,16,0,Lepidoptera,0.9948275862068966,0.9914089347079038,0.9931153184165232,582.0
softprompt_N16,16,0,Mecoptera,0.5555555555555556,0.45454545454545453,0.5,11.0
softprompt_N16,16,0,Neuroptera,0.8461538461538461,0.5641025641025641,0.676923076923077,39.0
softprompt_N16,16,0,Orthoptera,1.0,1.0,1.0,3.0
softprompt_N16,16,0,Plecoptera,1.0,0.8888888888888888,0.9411764705882353,18.0
softprompt_N16,16,0,Raphidioptera,0.0,0.0,0.0,1.0
softprompt_N16,16,0,Trichoptera,0.9,0.9642857142857143,0.9310344827586207,28.0
softprompt_N16,16,1,Araneae,1.0,0.9787234042553191,0.989247311827957,188.0
softprompt_N16,16,1,Blattodea,1.0,0.875,0.9333333333333333,8.0
softprompt_N16,16,1,Coleoptera,0.9034267912772586,0.7611548556430446,0.8262108262108262,381.0
softprompt_N16,16,1,Diptera,0.9771296296296297,0.9920097762737357,0.9845134807351432,10638.0
softprompt_N16,16,1,Hemiptera,0.8787878787878788,0.6744186046511628,0.7631578947368421,258.0
softprompt_N16,16,1,Hymenoptera,0.9494485294117647,0.9314697926059513,0.9403732362312244,1109.0
softprompt_N16,16,1,Ixodida,0.0,0.0,0.0,1.0
softprompt_N16,16,1,Lepidoptera,0.9930915371329879,0.9896729776247849,0.9913793103448276,581.0
softprompt_N16,16,1,Mecoptera,1.0,0.3333333333333333,0.5,12.0
softprompt_N16,16,1,Neuroptera,0.7741935483870968,0.631578947368421,0.6956521739130435,38.0
softprompt_N16,16,1,Orthoptera,1.0,1.0,1.0,3.0
softprompt_N16,16,1,Plecoptera,1.0,1.0,1.0,18.0
softprompt_N16,16,1,Raphidioptera,0.0,0.0,0.0,0.0
softprompt_N16,16,1,Trichoptera,0.9,0.9642857142857143,0.9310344827586207,28.0
softprompt_N16,16,2,Araneae,0.9739583333333334,0.9946808510638298,0.9842105263157894,188.0
softprompt_N16,16,2,Blattodea,0.8888888888888888,1.0,0.9411764705882353,8.0
softprompt_N16,16,2,Coleoptera,0.8901408450704226,0.8293963254593176,0.8586956521739131,381.0
softprompt_N16,16,2,Diptera,0.9786344635392475,0.9903177288964091,0.9844414334439098,10638.0
softprompt_N16,16,2,Hemiptera,0.8480392156862745,0.667953667953668,0.7473002159827213,259.0
softprompt_N16,16,2,Hymenoptera,0.9427516158818098,0.9214801444043321,0.9319945230488361,1108.0
softprompt_N16,16,2,Ixodida,0.0,0.0,0.0,0.0
softprompt_N16,16,2,Lepidoptera,0.9895652173913043,0.9793459552495697,0.9844290657439446,581.0
softprompt_N16,16,2,Mecoptera,0.8,0.36363636363636365,0.5,11.0
softprompt_N16,16,2,Neuroptera,0.59375,0.5,0.5428571428571428,38.0
softprompt_N16,16,2,Orthoptera,1.0,1.0,1.0,2.0
softprompt_N16,16,2,Plecoptera,1.0,0.9444444444444444,0.9714285714285714,18.0
softprompt_N16,16,2,Raphidioptera,1.0,1.0,1.0,1.0
softprompt_N16,16,2,Trichoptera,1.0,0.7586206896551724,0.8627450980392157,29.0
